Attitude,,,,Error,,,DError,,,Torque,,
0.5284477,0.4339557,0.2613329,0.6812714,46.61194,-14.97647,-35.37294,6.790985,3.761597,-3.345947,-7.192597,8.254538,7.265935
0.5253789,0.4333619,0.2707851,0.6803309,45.75589,-15.43223,-34.9453,6.848419,3.646057,-3.421082,-6.878347,8.275726,7.06251
0.5222754,0.4328595,0.280213,0.6792213,44.89255,-15.87344,-34.50867,6.906708,3.529663,-3.493103,-6.561057,8.291695,6.859497
0.5191394,0.4324529,0.2896129,0.6779404,44.02182,-16.29993,-34.06337,6.965851,3.411926,-3.562378,-6.240695,8.301905,6.656633
0.5159724,0.4321462,0.2989809,0.6764855,43.1436,-16.71152,-33.60979,7.025726,3.292725,-3.628601,-5.917355,8.30618,6.454338
0.5127769,0.4319436,0.3083127,0.6748539,42.25781,-17.10799,-33.14831,7.086304,3.171753,-3.691895,-5.591041,8.30415,6.252598
0.509555,0.4318497,0.3176042,0.6730432,41.36436,-17.48906,-32.67929,7.147614,3.048584,-3.752136,-5.261695,8.295301,6.051651
0.5063094,0.4318689,0.3268505,0.6710506,40.46316,-17.85445,-32.20313,7.209625,2.923096,-3.809326,-4.929322,8.27943,5.851612
0.5030429,0.4320058,0.3360467,0.6688733,39.55413,-18.20378,-31.7202,7.272186,2.794678,-3.863403,-4.594054,8.255812,5.652657
0.4997588,0.4322649,0.3451876,0.6665087,38.63725,-18.53669,-31.23091,7.335083,2.663269,-3.914307,-4.256092,8.224276,5.454967
0.4964606,0.4326509,0.3542675,0.6639538,37.71246,-18.85271,-30.73568,7.398346,2.528198,-3.961853,-3.915391,8.184013,5.258851
0.4931519,0.4331685,0.3632805,0.6612061,36.77975,-19.15139,-30.23492,7.46167,2.389404,-4.006042,-3.572254,8.134821,5.064435
0.4898371,0.4338225,0.3722203,0.6582627,35.83913,-19.43217,-29.72908,7.524902,2.246277,-4.046753,-3.226838,8.07593,4.871971
0.4865209,0.4346172,0.3810802,0.6551208,34.89066,-19.69447,-29.21858,7.587769,2.098389,-4.083984,-2.879431,8.006731,4.681591
0.4832081,0.4355575,0.3898531,0.6517777,33.93439,-19.93766,-28.70392,7.650208,1.945496,-4.11731,-2.530109,7.926794,4.493866
0.4799044,0.4366479,0.3985315,0.6482308,32.97044,-20.16104,-28.18558,7.711578,1.787048,-4.146729,-2.179554,7.835361,4.308945
0.4766157,0.4378927,0.4071075,0.6444774,31.99897,-20.36388,-27.66406,7.771744,1.622681,-4.172119,-1.827949,7.731844,4.1271
0.4733487,0.4392962,0.4155725,0.640515,31.0202,-20.54534,-27.13991,7.830154,1.451721,-4.193237,-1.475906,7.615324,3.948735
0.4701106,0.4408624,0.4239176,0.6363413,30.0344,-20.70459,-26.61366,7.886414,1.273987,-4.209961,-1.123907,7.485364,3.774138
0.4669092,0.4425952,0.4321335,0.6319541,29.0419,-20.84069,-26.08591,7.940002,1.088806,-4.221985,-0.7725677,7.341013,3.60379
